iterazione,loss
20350,0.0090
20400,0.0087
20450,0.0091
20500,0.0074
20550,0.0077
20600,0.0098
20650,0.0085
20700,0.0097
20750,0.0082
20800,0.0088
20850,0.0099
20900,0.0108
20950,0.0103
21000,0.0117
21050,0.0114
21100,0.0138
21150,0.0106
21200,0.0092
21250,0.0103
21300,0.0087
21350,0.0117
21400,0.0115
21450,0.0135
21500,0.0103
21550,0.0124
21600,0.0134
21650,0.0102
21700,0.0118
21750,0.0127
21800,0.0133
21850,0.0153
21900,0.0096
21950,0.0109
22000,0.0129
22050,0.0106
22100,0.0120
22150,0.0102
22200,0.0109
22250,0.0091
22300,0.0103
22350,0.0111
22400,0.0126
22450,0.0117
22500,0.0121
22550,0.0136
22600,0.0127
22650,0.0135
22700,0.0131
22750,0.0134
22800,0.0130
22850,0.0118
22900,0.0124
22950,0.0109
23000,0.0112
23050,0.0107
23100,0.0130
23150,0.0114
23200,0.0120
23250,0.0095
23300,0.0110
23350,0.0103
23400,0.0097
23450,0.0105
23500,0.0104
23550,0.0131
23600,0.0137
23650,0.0133
23700,0.0126
23750,0.0131
23800,0.0140
23850,0.0152
23900,0.0121
23950,0.0156
24050,0.0142
24100,0.0133
24150,0.0147
24200,0.0165
24250,0.0149
24300,0.0103
24350,0.0105
24400,0.0150
24450,0.0119
24500,0.0115
24550,0.0135
24600,0.0127
24650,0.0135
24700,0.0142
24750,0.0156
24800,0.0117
24850,0.0124
24900,0.0097
24950,0.0138
25000,0.0125
25050,0.0130
25100,0.0138
25150,0.0106
25200,0.0112
25250,0.0127
25300,0.0157
25350,0.0131
25400,0.0127
25450,0.0129
25500,0.0090
25550,0.0127
25600,0.0149
25650,0.0137
25700,0.0132
25750,0.0118
25800,0.0097
25850,0.0108
25900,0.0108
25950,0.0119
26000,0.0128
26050,0.0143
26100,0.0115
26150,0.0181
26200,0.0178
26250,0.0135
26300,0.0132
26350,0.0152
26400,0.0130
26450,0.0134
26500,0.0141
26550,0.0148
26600,0.0119
26650,0.0139
26700,0.0199
26750,0.0149
26800,0.0127
26850,0.0146
26900,0.0183
26950,0.0164
27000,0.0177
27050,0.0151
27100,0.0148
27150,0.0130
27200,0.0120
27250,0.0131
27300,0.0167
27350,0.0153
27400,0.0176
27450,0.0157
27500,0.0154
27550,0.0156
27600,0.0115
27650,0.0172
27700,0.0163
27750,0.0131
27800,0.0169
27850,0.0177
27900,0.0146
27950,0.0170
28050,0.0147
28100,0.0120
28150,0.0179
28200,0.0186
28250,0.0149
28300,0.0165
28350,0.0152
28400,0.0177
28450,0.0181
28500,0.0147
28550,0.0188
28600,0.0189
28650,0.0155
28700,0.0152
28750,0.0149
28800,0.0177
28850,0.0135
28900,0.0140
28950,0.0173
29000,0.0149
29050,0.0136
29100,0.0117
29150,0.0124
29200,0.0152
29250,0.0141
29300,0.0218
29350,0.0171
29400,0.0143
29450,0.0188
29500,0.0155
29550,0.0181
29600,0.0160
29650,0.0172
29700,0.0254
29750,0.0231
29800,0.0258
29850,0.0196
29900,0.0173
29950,0.0135
30000,0.0160
30050,0.0178
30100,0.0156
30150,0.0181
30200,0.0141
30250,0.0171
30300,0.0163
30350,0.0152
30400,0.0129
30450,0.0133
30500,0.0165
30550,0.0150
30600,0.0147
30650,0.0136
30700,0.0171
30750,0.0175
30800,0.0146
30850,0.0134
30900,0.0134
30950,0.0157
31000,0.0124
31050,0.0136
31100,0.0115
31150,0.0102
31200,0.0108
31250,0.0130
31300,0.0174
31350,0.0156
31400,0.0150
31450,0.0172
31500,0.0154
31550,0.0181
31600,0.0188
31650,0.0156
31700,0.0142
31750,0.0165
31800,0.0166
31850,0.0197
31900,0.0172
31950,0.0172
32050,0.0192
32100,0.0189
32150,0.0179
32200,0.0166
32250,0.0177
32300,0.0183
32350,0.0215
32400,0.0179
32450,0.0185
32500,0.0170
32550,0.0190
32600,0.0188
32650,0.0156
32700,0.0177
32750,0.0178
32800,0.0153
32850,0.0221
32900,0.0172
32950,0.0171
33000,0.0192
33050,0.0184
33100,0.0187
33150,0.0181
33200,0.0188
33250,0.0148
33300,0.0206
33350,0.0234
33400,0.0195
33450,0.0174
33500,0.0188
33550,0.0188
33600,0.0271
33650,0.0242
33700,0.0226
33750,0.0210
33800,0.0184
33850,0.0213
33900,0.0198
33950,0.0194
34000,0.0177
34050,0.0196
34100,0.0165
34150,0.0165
34200,0.0189
34250,0.0177
34300,0.0204
34350,0.0209
34400,0.0200
34450,0.0226
34500,0.0193
34550,0.0196
34600,0.0226
34650,0.0232
34700,0.0149
34750,0.0199
34800,0.0214
34850,0.0240
34900,0.0177
34950,0.0234
35000,0.0205
35050,0.0253
35100,0.0167
35150,0.0182
35200,0.0231
35250,0.0192
35300,0.0227
35350,0.0171
35400,0.0197
35450,0.0263
35500,0.0210
35550,0.0181
35600,0.0271
35650,0.0175
35700,0.0221
35750,0.0221
35800,0.0220
35850,0.0194
35900,0.0175
35950,0.0184
36050,0.0262
36100,0.0186
36150,0.0179
36200,0.0166
36250,0.0171
36300,0.0183
36350,0.0215
36400,0.0217
36450,0.0220
36500,0.0228
36550,0.0248
36600,0.0266
36650,0.0211
36700,0.0208
36750,0.0242
36800,0.0204
36850,0.0215
36900,0.0221
36950,0.0199
37000,0.0243
37050,0.0259
37100,0.0204
37150,0.0196
37200,0.0186
37250,0.0202
37300,0.0254
37350,0.0231
37400,0.0258
37450,0.0232
37500,0.0199
37550,0.0202
37600,0.0281
37650,0.0245
37700,0.0199
37750,0.0254
37800,0.0205
37850,0.0210
37900,0.0293
37950,0.0277
38000,0.0189
38050,0.0223
38100,0.0224
38150,0.0188
38200,0.0262
38250,0.0248
38300,0.0265
38350,0.0197
38400,0.0215
38450,0.0226
38500,0.0228
38550,0.0243
38600,0.0252
38650,0.0227
38700,0.0180
38750,0.0240
38800,0.0226
38850,0.0213
38900,0.0198
38950,0.0295
39000,0.0187
39050,0.0202
39100,0.0209
39150,0.0192
39200,0.0229
39250,0.0221
39300,0.0228
39350,0.0217
39400,0.0211
39450,0.0242
39500,0.0257
39550,0.0273
39600,0.0257
39650,0.0273
39700,0.0302
39750,0.0236
39800,0.0266
39850,0.0219
39900,0.0255
39950,0.0217
