iterazione,L2_loss_RGB_st,L2_loss_EVENTs_RGBt
12450,0.0044,0.0066
12500,0.0039,0.0043
12550,0.0054,0.0063
12600,0.0053,0.0046
12650,0.0053,0.0052
12700,0.0071,0.0071
12750,0.005,0.0053
12800,0.0045,0.0067
12850,0.0036,0.0047
12900,0.0042,0.0047
12950,0.0041,0.0052
13000,0.0046,0.007
13050,0.004,0.0047
13100,0.0043,0.0055
13150,0.0036,0.0048
13200,0.0059,0.0057
13250,0.0053,0.0057
13300,0.0053,0.0069
13350,0.0057,0.0057
13400,0.0055,0.0047
13450,0.0085,0.0066
13500,0.0058,0.0079
13550,0.0035,0.006
13600,0.0042,0.0055
13650,0.0043,0.0086
13700,0.0125,0.0069
13750,0.0078,0.0075
13800,0.0054,0.0052
13850,0.0057,0.0049
13900,0.0037,0.0061
13950,0.0089,0.0071
14000,0.0056,0.0065
14050,0.0069,0.0061
14100,0.0041,0.0061
14150,0.0137,0.0062
14200,0.0053,0.0071
14250,0.0054,0.0056
14300,0.0053,0.005
14350,0.0066,0.0048
14400,0.0058,0.0048
14450,0.0049,0.0069
14500,0.0058,0.005
14550,0.007,0.0064
14600,0.0054,0.0083
14650,0.006,0.0061
14700,0.0062,0.0086
14750,0.0073,0.0045
14800,0.0058,0.0076
14850,0.0049,0.0046
14900,0.0087,0.0095
14950,0.0058,0.0053
15000,0.0052,0.0055
15050,0.0058,0.0047
15100,0.0052,0.0092
15150,0.0049,0.0056
15200,0.0049,0.0055
15250,0.0037,0.0078
15300,0.0065,0.0072
15350,0.0063,0.0053
15400,0.0059,0.0071
15450,0.0052,0.0051
15500,0.0048,0.0064
15550,0.0042,0.0062
15600,0.0045,0.0078
15650,0.0047,0.0073
15700,0.0047,0.0077
15750,0.0065,0.0069
15800,0.0146,0.0095
15850,0.0049,0.0072
15900,0.0076,0.0071
15950,0.0096,0.0105
16000,0.009,0.0071
16050,0.0054,0.0088
16100,0.0043,0.0098
16150,0.0055,0.0071
16200,0.0056,0.0054
16250,0.0038,0.0089
16300,0.0038,0.0051
16350,0.0049,0.008
16400,0.0051,0.0062
16450,0.0055,0.0051
16500,0.0051,0.0057
16550,0.0061,0.0056
16600,0.0055,0.0052
16650,0.0057,0.0048
16700,0.0072,0.0046
16750,0.0048,0.0049
16800,0.0042,0.0054
16850,0.0054,0.0073
16900,0.0057,0.0045
16950,0.0058,0.0055
17000,0.0056,0.0051
17050,0.0092,0.0053
17100,0.0071,0.0095
17150,0.0058,0.0057
17200,0.0069,0.0062
17250,0.0064,0.0055
17300,0.0081,0.0052
17350,0.0055,0.0087
17400,0.0048,0.0057
17450,0.0114,0.0062
17500,0.0065,0.0084
17550,0.008,0.0082
17600,0.0062,0.0053
17650,0.0058,0.0048
17700,0.0075,0.0059
17750,0.008,0.0068
17800,0.0074,0.0097
17850,0.0058,0.0083
17900,0.0048,0.0069
17950,0.0049,0.0074
18000,0.0055,0.0053
18050,0.0055,0.0065
18100,0.0081,0.0061
18150,0.0051,0.0065
18200,0.0052,0.005
18250,0.0055,0.0056
18300,0.0039,0.0052
18350,0.004,0.0066
18400,0.0055,0.0049
18450,0.006,0.0049
18500,0.0053,0.0051
18550,0.0054,0.0066
18600,0.0058,0.006
18650,0.0072,0.0058
18700,0.008,0.006
18750,0.01,0.0117
18800,0.0094,0.0088
18850,0.0058,0.0076
18900,0.0092,0.0077
18950,0.0079,0.0075
19000,0.0097,0.0062
19050,0.0067,0.0052
19100,0.0073,0.0062
19150,0.0075,0.0102
19200,0.0043,0.0102
19250,0.0081,0.006
19300,0.0078,0.0093
19350,0.0146,0.0132
19400,0.0112,0.0069
19450,0.0067,0.0075
19500,0.0055,0.0076
19550,0.0072,0.0056
19600,0.0054,0.0059
19650,0.0053,0.008
19700,0.0074,0.0068
19750,0.0068,0.0061
19800,0.0145,0.0081
19850,0.006,0.0053
19900,0.0068,0.0068
19950,0.0061,0.0058
20000,0.0065,0.0072
20050,0.0058,0.0071
20100,0.0077,0.0063
20150,0.0051,0.006
20200,0.0056,0.0085
20250,0.0097,0.0074
20300,0.0104,0.0067
20350,0.0054,0.005
20400,0.0052,0.0054
20450,0.0061,0.0048
20500,0.0055,0.0055
20550,0.0062,0.0055
20600,0.0051,0.0106
20650,0.0066,0.0058
20700,0.0072,0.0068
20750,0.0064,0.0055
20800,0.0052,0.0062
20850,0.0076,0.0065
20900,0.0073,0.0094
20950,0.008,0.0077
21000,0.0092,0.0066
21050,0.011,0.0078
21100,0.005,0.0046
21150,0.0044,0.0068
21200,0.006,0.0057
21250,0.0075,0.0065
21300,0.0066,0.0057
21350,0.0104,0.0062
21400,0.0065,0.0084
21450,0.0099,0.0077
21500,0.0065,0.0056
21550,0.007,0.007
21600,0.0096,0.0094
21650,0.0059,0.0057
21700,0.0062,0.0088
21750,0.0066,0.0067
21800,0.0074,0.0098
21850,0.0079,0.0135
21900,0.0046,0.0087
21950,0.0068,0.0059
22000,0.007,0.0056
22050,0.0057,0.0058
22100,0.0075,0.0081
22150,0.0073,0.0053
22200,0.006,0.0081
22250,0.0048,0.0079
22300,0.0049,0.0058
22350,0.0048,0.0056
22400,0.0072,0.0069
22450,0.0073,0.0084
22500,0.007,0.0104
22550,0.0099,0.008
22600,0.0064,0.0061
22650,0.0084,0.0069
22700,0.0066,0.0059
22750,0.0099,0.0075
22800,0.0074,0.0075
22850,0.0068,0.006
22900,0.0056,0.0069
22950,0.0055,0.0052
23000,0.0061,0.0056
23050,0.0058,0.0089
23100,0.0081,0.0083
23150,0.0064,0.0061
23200,0.0067,0.0089
23250,0.0059,0.0063
23300,0.0078,0.0076
23350,0.0075,0.0087
